Substrate,id,num,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc,Score
TRIM15,RCBTB2,4,0.42873,0.57386,0.993429,50,2,0.047308,0.367816126
TRIM15,KLHL11,4,0.43235,0.57786,0.993429,51,1,-0.16007,0.364164537
TRIM15,KCTD2,4,0.4393,0.58461,0.993429,52,1,0.019624,0.357238797
TRIM15,GAN,4,0.44618,0.59114,0.993429,53,2,0.14476,0.350489901
TRIM15,KCTD9,4,0.45238,0.59791,0.993429,54,2,0.062071,0.344496604
TRIM15,IPP,4,0.45974,0.6049,0.993429,55,2,-0.24594,0.337487709
TRIM15,KLHL23,4,0.48613,0.61861,0.993429,56,1,-0.73993,0.313247577
TRIM15,BTBD8,4,0.49896,0.62445,0.993429,57,1,-0.13757,0.301934269
TRIM15,BCL6B,4,0.50528,0.62742,0.993429,58,1,-0.49639,0.296467892
TRIM15,KLHL4,4,0.51775,0.63322,0.993429,59,1,-0.073283,0.285879892
TRIM15,KLHL8,4,0.54197,0.64364,0.993429,60,1,-0.57894,0.266024753
TRIM15,GMCL1,4,0.56527,0.65527,0.993429,61,1,-0.61467,0.247744063
TRIM15,KLHL28,3,0.6491,0.65726,0.993429,62,1,-0.75405,0.187688391
TRIM15,KEAP1,4,0.65452,0.70202,0.993429,63,1,-0.10862,0.184077078
TRIM15,KCTD10,4,0.66403,0.70726,0.993429,64,1,0.11966,0.177812299
TRIM15,MYNN,4,0.6914,0.72354,0.993429,65,1,0.0481,0.160270625
TRIM15,IBTK,4,0.70443,0.73243,0.993429,66,1,-0.24251,0.152162157
TRIM15,KLHL5,4,0.70869,0.73526,0.993429,67,1,0.096516,0.149543695
TRIM15,KBTBD6,4,0.71289,0.73783,0.993429,68,1,-0.40853,0.146977477
TRIM15,ABTB2,4,0.72117,0.74347,0.993429,69,1,-0.090012,0.141962348
TRIM15,KCTD13,4,0.72927,0.74877,0.993429,70,1,-0.34219,0.137111652
TRIM15,KCTD5,4,0.73325,0.7514,0.993429,71,1,-0.13821,0.134747928
TRIM15,KLHL2,4,0.74873,0.76282,0.993429,72,1,0.15605,0.125674765
TRIM15,NACC2,4,0.75622,0.76804,0.993429,73,1,-0.20491,0.121351841
TRIM15,KBTBD2,4,0.76354,0.77383,0.993429,74,1,0.062078,0.117168206
TRIM15,BTBD11,4,0.80717,0.80979,0.994023,75,1,-1.0631,0.093034988
TRIM15,KLHL18,4,0.82513,0.82641,0.994023,76,1,0.1016,0.083477623
